"X100Pa_3D_Rep1"	"X100Pa_3D_Rep2"	"X100Pa_3D_Rep3"	"X2000Pa_3D_Rep1"	"X2000Pa_3D_Rep2"	"X2000Pa_3D_Rep3"
"chr1_169443229_169443466"	6.68780374318231	6.65640745134151	6.68073089297623	0	2.9824029873347	0.757955139223389
"chr3_68708135_68708352"	5.3181510012296	5.32264202135939	5.31917249658008	2.21969304940441	1.35614327601117	0.419016006452593
"chr19_50594292_50594473"	3.43053151118243	3.36824456223711	3.41661541003832	0	1.04655831066257	0
"chr4_167789411_167789675"	3.23968182288083	3.25346796964918	3.242825336533	0.153779708283797	0	0.153779708283797
"chr4_190942911_190943138"	3.20018144902369	3.12168196243324	3.18271921811625	0	1.09608642909182	0
"chr13_107440288_107440622"	3.59878010358879	3.46787552832859	3.57006672262835	0	2.22983062445723	0.478196167429719
"chr2_41867464_41867791"	3.25991319498614	3.14282089732764	3.23413415495018	0	1.70651677647262	0
"chr7_20911021_20911410"	3.49290193541222	3.3789358647836	3.4677901194276	0.48660498139231	1.99889947957999	0
"chrY_10023071_10023296"	3.00132209324656	2.95963360912297	2.99195651970283	0	0.611807616251906	0
"chr2_197393358_197393736"	3.45817218684656	3.47342059182412	3.46165048592939	1.46640246664653	0.612630858783302	0.158617594205324
"chr19_50596049_50596340"	2.79840315888478	2.76371877614416	2.7905964602344	0	0.478336139472038	0
"chr7_139101749_139102080"	3.22911995156935	3.0114731728486	3.1824781530361	0	2.39839631887038	0
"chr16_3421883_3422174"	3.56972652228114	3.51709368184911	3.55793686493166	1.37815971766744	1.71014616867235	0
"chr10_87233096_87233331"	3.24384123265933	3.1851563450129	3.23071723528827	0	1.3962688255834	0.767665717067256
"chr5_40401619_40401831"	3.07098657281075	2.92672349844087	3.03945624350871	0.0229412325750535	1.93679789622369	0.0229412325750535
"chr7_128622912_128623281"	3.5997112429407	3.54894751964588	3.58833456624377	1.16420340331194	1.71817762750277	0.475936151040258
"chr4_41897511_41897846"	3.36350753020065	3.24107674754175	3.33659173530073	0.874901545198093	1.98389494332503	0
"chr2_145875606_145875878"	3.19797755488865	3.06271304780739	3.16834251817223	0.524138528461745	1.9689692923538	0
"chr4_190970870_190971251"	2.8473294129559	2.90370849704305	2.86033236467945	0.413942892398608	0	0.413942892398608
"chr9_71375411_71375561"	3.10601598321656	3.0074014000876	3.084197143642	0	1.61965160761578	0.556439100715629
"chr3_66827189_66827441"	3.25990705183679	3.00342885792867	3.2055133337413	0	2.66982427526865	0.35002549513369
"chr6_47213689_47213948"	3.55720061095182	3.30035612544853	3.50273456289533	0.497907746868602	3.02691640483811	0.470345742830572
