"X100Pa_3D_Rep1"	"X100Pa_3D_Rep2"	"X100Pa_3D_Rep3"	"X2000Pa_3D_Rep1"	"X2000Pa_3D_Rep2"	"X2000Pa_3D_Rep3"
"chr16_65543155_65543367"	1.49431667478792	1.97109386304039	1.61728169356977	2.50729216807707	1.54595830101301	2.98471138268305
"chr16_88689734_88690171"	2.90964734599125	2.7983299731779	2.88510172644621	3.5990020975396	3.87673010552786	3.73735020352849
"chr4_149436376_149437040"	1.47909972062126	1.38838433215815	1.45898604764284	2.63343086929412	2.46652962539074	1.86954638274547
"chr3_52567762_52568187"	3.23907293123648	3.07842192180934	3.20411485431886	4.17465247278044	4.26947237584828	3.75635731954501
"chr11_4647505_4647726"	1.41371822830353	1.33098971863351	1.39533610485892	1.81655040615515	2.37844306149049	2.54416329058003
"chr11_86185264_86185461"	1.41371822830353	1.33098971863351	1.39533610485892	1.81655040615515	2.37844306149049	2.54416329058003
"chr11_107964295_107964571"	0.418343673407344	0.822915605929305	0.520715716133449	2.33275872591621	0.892005694086065	0.779679524819028
"chr2_114006618_114007053"	2.63409867630237	2.77857282093046	2.66821335099605	3.3101849951818	3.30198692584136	3.84859351762841
"chr1_64940382_64940709"	2.36166825262675	2.73766021304349	2.45609146370641	3.54463683281301	2.6119964158768	3.50103531940001
"chr19_46398810_46399150"	2.59483420300532	2.75176011890083	2.63201250533581	3.82734546835626	3.25518897230357	3.29037043578234
"chr5_151622517_151622852"	1.69887094986228	2.06541345092962	1.79069096497185	3.18733781677862	2.02827768879816	2.4994616750187
"chr6_162399649_162399999"	1.84033684265017	1.93689880008185	1.8628479825504	2.86543915048469	2.56326583930315	2.65006757372468
"chr6_169428604_169428791"	2.52306120777475	2.34766273867503	2.48504475178912	3.32288683265179	3.55772680497565	3.15637555881779
"chrX_111421240_111421480"	2.00833100479934	2.28609027032038	2.07628986172289	2.81156677657852	2.46372663073336	3.32491455135598
"chr2_409514_410279"	3.27481469530818	3.4159775923966	3.30811802421183	3.76228881731626	3.98482973190448	4.6492879766645
"chr20_32360526_32360918"	2.10194767277841	2.07131024840362	2.09504437404455	2.78362129786832	2.9830105786813	3.05178701903219
"chr2_758323_758784"	2.50134411769906	2.73974105017893	2.55906450516173	3.4553743664375	3.00492371200305	3.6137784416475
